text,label
"This course was poor, I really regret it",negative
"The trip fell far short of expectations, truly mediocre",negative
The trip was bad and a waste of money,negative
"I am so disappointed with this product, it was horrible",negative
"What an amazing laptop, highly recommend it to everyone",positive
"This album was frustrating, I really regret it",negative
"This hotel was weak, I really regret it",negative
"The restaurant fell far short of expectations, truly mediocre",negative
"A unpleasant experience with this game, will not come back",negative
"I am so disappointed with this phone, it was annoying",negative
"This hotel was fabulous, I really loved it",positive
"The laptop exceeded my expectations, truly charming",positive
The game was outstanding and worth every penny,positive
"Such a impressive course, I can't stop recommending it",positive
"The laptop fell far short of expectations, truly useless",negative
"Such a delightful trip, I can't stop recommending it",positive
"Absolutely annoying restaurant, one of the worst I've seen",negative
"This product was great, I really loved it",positive
"The app fell far short of expectations, truly bad",negative
"A weak experience with this laptop, will not come back",negative
The service was frustrating and a waste of money,negative
"The restaurant exceeded my expectations, truly solid",positive
"I am so disappointed with this course, it was dull",negative
"This game was enjoyable, I really loved it",positive
"Absolutely enjoyable laptop, one of the best I've seen",positive
"Such a great movie, I can't stop recommending it",positive
"Absolutely fantastic service, one of the best I've seen",positive
"This product was dull, I really regret it",negative
"The phone fell far short of expectations, truly unpleasant",negative
"The restaurant exceeded my expectations, truly enjoyable",positive
"A bad experience with this show, will not come back",negative
"Such a horrible service, I can't stop complaining about it",negative
"I am so happy with this book, it was charming",positive
The album was impressive and worth every penny,positive
The movie was weak and a waste of money,negative
"The game fell far short of expectations, truly dreadful",negative
"What an superb product, highly recommend it to everyone",positive
"What an delightful app, highly recommend it to everyone",positive
"The show fell far short of expectations, truly weak",negative
"Such a unpleasant phone, I can't stop complaining about it",negative
The service was boring and a waste of money,negative
"Absolutely bad course, one of the worst I've seen",negative
"Absolutely superb show, one of the best I've seen",positive
"Such a fabulous trip, I can't stop recommending it",positive
"Absolutely frustrating book, one of the worst I've seen",negative
"Absolutely boring trip, one of the worst I've seen",negative
"I am so happy with this restaurant, it was wonderful",positive
The course was useless and a waste of money,negative
"A annoying experience with this trip, will not come back",negative
"Absolutely incredible book, one of the best I've seen",positive
"Absolutely unpleasant service, one of the worst I've seen",negative
The game was delightful and worth every penny,positive
"Such a awful product, I can't stop complaining about it",negative
The course was disappointing and a waste of money,negative
"Such a horrible trip, I can't stop complaining about it",negative
"What a poor hotel, would not recommend it to anyone",negative
"Absolutely amazing course, one of the best I've seen",positive
"What a bad product, would not recommend it to anyone",negative
The hotel was charming and worth every penny,positive
"The movie exceeded my expectations, truly fantastic",positive
The album was annoying and a waste of money,negative
"This course was delightful, I really loved it",positive
"A weak experience with this service, will not come back",negative
"Such a awful course, I can't stop complaining about it",negative
"The movie fell far short of expectations, truly poor",negative
"The album fell far short of expectations, truly dreadful",negative
"The app exceeded my expectations, truly fantastic",positive
"The app exceeded my expectations, truly great",positive
"Absolutely delightful restaurant, one of the best I've seen",positive
"This movie was bad, I really regret it",negative
"Absolutely awful laptop, one of the worst I've seen",negative
"I am so happy with this product, it was incredible",positive
"Such a delightful show, I can't stop recommending it",positive
"An charming experience with this product, will come back again",positive
The laptop was superb and worth every penny,positive
"What an excellent course, highly recommend it to everyone",positive
"This game was wonderful, I really loved it",positive
"The course exceeded my expectations, truly superb",positive
"What a frustrating show, would not recommend it to anyone",negative
"The game fell far short of expectations, truly terrible",negative
"I am so happy with this app, it was wonderful",positive
"The service fell far short of expectations, truly useless",negative
"Absolutely awful trip, one of the worst I've seen",negative
"A terrible experience with this restaurant, will not come back",negative
"What an superb album, highly recommend it to everyone",positive
"I am so happy with this book, it was solid",positive
"Absolutely weak hotel, one of the worst I've seen",negative
The restaurant was weak and a waste of money,negative
"I am so happy with this album, it was delightful",positive
"What a disappointing movie, would not recommend it to anyone",negative
"An excellent experience with this show, will come back again",positive
"What a weak movie, would not recommend it to anyone",negative
The hotel was bad and a waste of money,negative
"Absolutely weak service, one of the worst I've seen",negative
"A horrible experience with this game, will not come back",negative
"This product was awful, I really regret it",negative
"I am so disappointed with this movie, it was boring",negative
"I am so happy with this phone, it was brilliant",positive
The hotel was frustrating and a waste of money,negative
"Absolutely great book, one of the best I've seen",positive
"Absolutely impressive course, one of the best I've seen",positive
"Such a outstanding course, I can't stop recommending it",positive
"Absolutely awful restaurant, one of the worst I've seen",negative
The book was superb and worth every penny,positive
"What a boring book, would not recommend it to anyone",negative
"This show was brilliant, I really loved it",positive
"I am so disappointed with this restaurant, it was unpleasant",negative
"What a unpleasant product, would not recommend it to anyone",negative
"What an impressive hotel, highly recommend it to everyone",positive
"What a horrible laptop, would not recommend it to anyone",negative
"An excellent experience with this course, will come back again",positive
"I am so happy with this phone, it was enjoyable",positive
"What an great book, highly recommend it to everyone",positive
"What an wonderful restaurant, highly recommend it to everyone",positive
"Such a charming course, I can't stop recommending it",positive
"I am so disappointed with this show, it was annoying",negative
"An fantastic experience with this trip, will come back again",positive
"The movie exceeded my expectations, truly fabulous",positive
"Such a solid app, I can't stop recommending it",positive
"This hotel was outstanding, I really loved it",positive
"I am so happy with this hotel, it was fantastic",positive
The course was wonderful and worth every penny,positive
"This restaurant was awful, I really regret it",negative
"I am so disappointed with this movie, it was dreadful",negative
"Such a horrible book, I can't stop complaining about it",negative
"Such a fantastic book, I can't stop recommending it",positive
"I am so happy with this hotel, it was amazing",positive
"Such a amazing restaurant, I can't stop recommending it",positive
"Absolutely horrible service, one of the worst I've seen",negative
The movie was amazing and worth every penny,positive
"The product fell far short of expectations, truly disappointing",negative
"An fabulous experience with this show, will come back again",positive
"Absolutely frustrating game, one of the worst I've seen",negative
"Absolutely impressive product, one of the best I've seen",positive
"Such a delightful course, I can't stop recommending it",positive
"What an charming laptop, highly recommend it to everyone",positive
"I am so disappointed with this restaurant, it was bad",negative
"What an outstanding app, highly recommend it to everyone",positive
"An excellent experience with this book, will come back again",positive
"Such a weak phone, I can't stop complaining about it",negative
"Such a dull show, I can't stop complaining about it",negative
"A terrible experience with this course, will not come back",negative
"Such a bad course, I can't stop complaining about it",negative
"I am so disappointed with this service, it was weak",negative
The show was poor and a waste of money,negative
"Such a annoying course, I can't stop complaining about it",negative
"Such a excellent service, I can't stop recommending it",positive
"I am so happy with this course, it was solid",positive
"Absolutely wonderful game, one of the best I've seen",positive
"Absolutely dull album, one of the worst I've seen",negative
"This show was frustrating, I really regret it",negative
The trip was fantastic and worth every penny,positive
"I am so happy with this book, it was enjoyable",positive
"This app was poor, I really regret it",negative
"The service exceeded my expectations, truly solid",positive
"A frustrating experience with this hotel, will not come back",negative
"A dull experience with this album, will not come back",negative
"Absolutely charming hotel, one of the best I've seen",positive
"A dull experience with this app, will not come back",negative
"I am so disappointed with this product, it was poor",negative
"An impressive experience with this service, will come back again",positive
"An excellent experience with this game, will come back again",positive
"The phone exceeded my expectations, truly excellent",positive
"What an outstanding trip, highly recommend it to everyone",positive
"What a terrible book, would not recommend it to anyone",negative
"Absolutely great service, one of the best I've seen",positive
"What an delightful album, highly recommend it to everyone",positive
"What an enjoyable restaurant, highly recommend it to everyone",positive
The album was poor and a waste of money,negative
"Such a fabulous laptop, I can't stop recommending it",positive
The movie was poor and a waste of money,negative
"The phone exceeded my expectations, truly fabulous",positive
"What an impressive game, highly recommend it to everyone",positive
The movie was fabulous and worth every penny,positive
"A annoying experience with this app, will not come back",negative
"Absolutely excellent album, one of the best I've seen",positive
"This course was weak, I really regret it",negative
"A annoying experience with this product, will not come back",negative
"What a disappointing service, would not recommend it to anyone",negative
