text,label
"This movie was absolutely fantastic, I loved every minute of it",positive
"Amazing acting and a brilliant storyline, highly recommend",positive
"One of the best films I have seen this year",positive
"The plot was engaging and the characters felt real",positive
"A wonderful experience from start to finish",positive
"Great cinematography and an unforgettable soundtrack",positive
"I was pleasantly surprised by how good this was",positive
"The performances were outstanding and heartfelt",positive
"A delightful movie that made me smile the whole time",positive
"Brilliant direction and a touching story",positive
"This product exceeded my expectations, works perfectly",positive
"Excellent quality and fast shipping, very satisfied",positive
"The customer service was helpful and friendly",positive
"I am extremely happy with this purchase",positive
"Highly recommend this to anyone looking for quality",positive
"The food was delicious and the service was excellent",positive
"A truly enjoyable and relaxing experience",positive
"The staff were kind and the atmosphere was lovely",positive
"Fantastic value for money, will buy again",positive
"This exceeded all my expectations, wonderful job",positive
"The battery life is great and the screen is beautiful",positive
"Super comfortable and stylish, love it",positive
"The book was captivating from the first page",positive
"An inspiring and beautifully written story",positive
"The app works smoothly and is easy to use",positive
"This movie was boring and way too long",negative
"Terrible acting and a predictable plot",negative
"One of the worst films I have ever seen",negative
"The story made no sense and the pacing was awful",negative
"A disappointing experience from start to finish",negative
"Poor cinematography and an annoying soundtrack",negative
"I was very disappointed with how bad this was",negative
"The performances were flat and unconvincing",negative
"A dull movie that put me to sleep",negative
"Weak direction and a forgettable story",negative
"This product broke after a single use, terrible quality",negative
"Awful quality and slow shipping, very unsatisfied",negative
"The customer service was rude and unhelpful",negative
"I am extremely unhappy with this purchase",negative
"Would not recommend this to anyone, waste of money",negative
"The food was bland and the service was slow",negative
"A truly frustrating and stressful experience",negative
"The staff were rude and the atmosphere was unpleasant",negative
"Terrible value for money, will not buy again",negative
"This fell far below my expectations, poor job",negative
"The battery life is short and the screen is dim",negative
"Uncomfortable and cheaply made, hate it",negative
"The book was dull and dragged on forever",negative
"A boring and poorly written story",negative
"The app crashes constantly and is hard to use",negative
